"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"BEXAR","93070","SCHOOL","154"
"BEXAR","93504","SCHOOL","209"
"BEXAR","93843","SCHOOL","377"
"BEXAR","93786","SCHOOL","216"
"BEXAR","93747","SCHOOL","182"
"BEXAR","93704","SCHOOL","357"
"BEXAR","93657","SCHOOL","292"
"BEXAR","93659","SCHOOL","281"
"BEXAR","93440","SCHOOL","346"
"BEXAR","93767","SCHOOL","285"
"BEXAR","93109","SCHOOL","315"
"BEXAR","92826","SCHOOL","132"
"BEXAR","93664","SCHOOL","241"
"BEXAR","92843","SCHOOL","150"
"BEXAR","93710","SCHOOL","240"
"BEXAR","93649","SCHOOL","338"
"BEXAR","93841","SCHOOL","403"
"BEXAR","93806","SCHOOL","292"
"BEXAR","92850","SCHOOL","232"
"BEXAR","93805","SCHOOL","125"
"BEXAR","92829","SCHOOL","128"
"BEXAR","93697","SCHOOL","135"
"BEXAR","92837","SCHOOL","103"
"BEXAR","93451","SCHOOL","456"
"BEXAR","93754","SCHOOL","169"
"BEXAR","93742","SCHOOL","386"
"BEXAR","93834","SCHOOL","580"
"BEXAR","93682","SCHOOL","243"
"BEXAR","93449","SCHOOL","277"
"BEXAR","93495","SCHOOL","202"
"BEXAR","93808","SCHOOL","245"
"BEXAR","93861","SCHOOL","276"
"BEXAR","93506","SCHOOL","282"
"BEXAR","93535","SCHOOL","240"
"BEXAR","93782","SCHOOL","289"
"BEXAR","93548","SCHOOL","305"
"BEXAR","92819","SCHOOL","148"
"BEXAR","93689","SCHOOL","327"
"BEXAR","93753","SCHOOL","252"
"BEXAR","93802","SCHOOL","176"
"BEXAR","93794","SCHOOL","170"
"BEXAR","93436","SCHOOL","243"
"BEXAR","93788","SCHOOL","212"
"BEXAR","93825","SCHOOL","200"
"BEXAR","93686","SCHOOL","262"
"BEXAR","92824","SCHOOL","128"
"BEXAR","93797","SCHOOL","196"
"BEXAR","93791","SCHOOL","215"
"BEXAR","93662","SCHOOL","225"
"BEXAR","93752","SCHOOL","297"
"BEXAR","92825","SCHOOL","191"
"BEXAR","93656","SCHOOL","225"
"BEXAR","93824","SCHOOL","371"
"BEXAR","93591","SCHOOL","202"
"BEXAR","93461","SCHOOL","181"
"BEXAR","93840","SCHOOL","275"
"BEXAR","93432","SCHOOL","162"
