muni,longitude,latitude,year
VILLAGE OF FOX POINT,-87.901599,43.149313,2020
VILLAGE OF GREENDALE,-88.000888,42.940475,2020
VILLAGE OF GREENDALE,-87.987322,42.944332,2020
VILLAGE OF GREENDALE,-87.976309,42.937156,2020
VILLAGE OF HALES CORNERS,-88.06302264,42.94224277,2020
VILLAGE OF RIVER HILLS,-87.917629,43.155839,2020
VILLAGE OF SHOREWOOD,-87.888229,43.090507,2020
VILLAGE OF SHOREWOOD,-87.888178,43.088269,2020
VILLAGE OF SHOREWOOD,-87.884752,43.088359,2020
VILLAGE OF WEST MILWAUKEE,-87.972744,43.017356,2020
VILLAGE OF WHITEFISH BAY,-87.912333,43.112024,2020
VILLAGE OF WHITEFISH BAY,-87.901001,43.11531,2020
VILLAGE OF WHITEFISH BAY,-87.900299,43.114064,2020
VILLAGE OF WHITEFISH BAY,-87.89825,43.107084,2020
