,lon,lat,full_addr
316,-75.1888071,39.9565665,"25 N 33RD ST PHILADELPHIA, PA"
317,-75.2056348,39.967164,"41ST and BROWN STS PHILADELPHIA, PA"
318,-75.1073946,39.9848391,"3068 BELGRADE ST PHILADELPHIA, PA"
319,-75.1118897,39.9862863,"MEMPHIS and ANN STS PHILADELPHIA, PA"
320,-75.109398,39.9846944,"INDIANA and ALMOND STS PHILADELPHIA, PA"
321,-75.1117677,39.9795212,"2649 E SOMERSET ST PHILADELPHIA, PA"
322,-75.112258,39.9926793,"3116 FRANKFORD AVE PHILADELPHIA, PA"
323,-75.11345,39.984105,"CEDAR and CAMBRIA STS PHILADELPHIA, PA"
324,-75.1261702,39.9897526,"2646 KENSINGTON AVE PHILADELPHIA, PA"
325,-75.1152902,39.9928792,"ELKHART and HELEN STS PHILADELPHIA, PA"
326,-75.1147796,39.9859006,"2271-75 E WILLIAM ST PHILADELPHIA, PA"
327,-75.1814418,39.9099628,"3301 S 20TH ST PHILADELPHIA, PA"
328,-75.1712747,39.916861,"BROAD and OREGON AVE PHILADELPHIA, PA"
329,-75.1780344,39.9163128,"18TH and JOHNSTON STS PHILADELPHIA, PA"
330,-75.1703161,39.919828,"2437 S BROAD ST PHILADELPHIA, PA"
331,-75.1742552,39.9195636,"2500 S 16TH ST PHILADELPHIA, PA"
332,-75.173222,39.9235552,"16TH and JACKSON STS PHILADELPHIA, PA"
333,-75.1720944,39.9200204,"2433 S 15TH ST PHILADELPHIA, PA"
