"Zone","POLLING PLACE","ADDRESS","full_addr"
"Upper North 21","WIDENER SCHOOL","1450 W OLNEY AVE","1450 W OLNEY AVE PHILADELPHIA, PA"
"Upper North 22","BELFIELD RECREATIONAL CENTER","2109 W CHEW AVE","2109 W CHEW AVE PHILADELPHIA, PA"
"Upper North 23","MORRIS ESTATE RECREATION CENTER","1610 W CHELTEN AVE","1610 W CHELTEN AVE PHILADELPHIA, PA"
"Upper North 24","FISHER PARK RECREATION CENTER","06TH & SPENCER STS","06TH & SPENCER STS PHILADELPHIA, PA"
"Upper North 25","LOWELL SCHOOL","450 W NEDRO AVE","450 W NEDRO AVE PHILADELPHIA, PA"
"Upper North 26","GROVER WASHINGTON SCHOOL","201 E OLNEY AVE","201 E OLNEY AVE PHILADELPHIA, PA"
"Upper North 27","STURGIS RECREATION CENTER","65TH AVE & 2ND ST","65TH AVE & 2ND ST PHILADELPHIA, PA"
"Upper North 28","ELLWOOD SCHOOL","6701 N 13TH ST","6701 N 13TH ST PHILADELPHIA, PA"
"West 1","COMEGYS SCHOOL","51ST ST & GREENWAY AVE","51ST ST & GREENWAY AVE PHILADELPHIA, PA"
"West 2","HOUSTON HALL UPENN","3401 SPRUCE ST","3401 SPRUCE ST PHILADELPHIA, PA"
"West 3","ROBESON HIGH SCHOOL","42ND & LUDLOW STS","42ND & LUDLOW STS PHILADELPHIA, PA"
"West 4","POWELL SCHOOL","301 N 36TH ST","301 N 36TH ST PHILADELPHIA, PA"
"West 5","LUCIEN BLACKWELL COMMUNITY CENTER","761 N 47TH ST","761 N 47TH ST PHILADELPHIA, PA"
"West 6","SCHOOL OF THE FUTURE","4021 PARKSIDE AVE","4021 PARKSIDE AVE PHILADELPHIA, PA"
"West 7","PHILA LEARNING ACADEMY SOUTH","4300 WESTMINSTER AVE","4300 WESTMINSTER AVE PHILADELPHIA, PA"
"West 8","RHOADS SCHOOL","4901 PARRISH ST","4901 PARRISH ST PHILADELPHIA, PA"
"West 9","HESTON SCHOOL","1621 N 54TH ST","1621 N 54TH ST PHILADELPHIA, PA"
"West 10","BARRY SCHOOL","59TH & RACE STS","59TH & RACE STS PHILADELPHIA, PA"
"West 11","DIVINITY BANQUET HALL","6011 MARKET ST","6011 MARKET ST PHILADELPHIA, PA"
"West 12","UNIVERSAL BLUFORD CHARTER","58TH & MEDIA STS","58TH & MEDIA STS PHILADELPHIA, PA"
"West 13","HADDINGTON LIBRARY","446 N 65TH ST","446 N 65TH ST PHILADELPHIA, PA"
"West 14","OVERBROOK HIGH SCHOOL","5898 LANCASTER AVE","5898 LANCASTER AVE PHILADELPHIA, PA"
"West 15","HARAMBEE INSTITUTE","640 N 66TH ST","640 N 66TH ST PHILADELPHIA, PA"
"West 16","LAMBERTON LITTLE SCHOOL HOUSE","7501 WOODBINE AVE","7501 WOODBINE AVE PHILADELPHIA, PA"
"West 17","OVERBROOK EDUCATIONAL CENTER","6722 LANSDOWNE AVE","6722 LANSDOWNE AVE PHILADELPHIA, PA"
"West 18","BEEBER MIDDLE SCHOOL","5925 MALVERN AVE","5925 MALVERN AVE PHILADELPHIA, PA"
"West 19","JOHN C ANDERSON CULTURE CTR","5301 OVERBROOK AVE","5301 OVERBROOK AVE PHILADELPHIA, PA"
"West 20","CAROSEL HOUSE","4300 AVE OF THE REPUBLIC","4300 AVE OF THE REPUBLIC PHILADELPHIA, PA"
"West 21","MANDER RECREATION CENTER","33RD & DIAMOND STS","33RD & DIAMOND STS PHILADELPHIA, PA"
