Ward,Division,Address,Location,Building Code,Parking Code
15,10,FRANCIS & SHIRLEY STS,FRANCISVILLE RECREATION CENTER,F,N
15,11,FRANCIS & SHIRLEY STS,FRANCISVILLE RECREATION CENTER,F,N
15,12,22ND & PARRISH STS,BACHE MARTIN SCHOOL,M,N
15,13,839 N WOODSTOCK ST,STOREFRONT,M,N
15,14,24TH & WALLACE STS,ST FRANCIS XAVIER SCHOOL,B,N
15,15,1831 B BRANDYWINE ST,YOGA STUDIO B,R,N
15,16,19TH & NORTH STS,ST ANDREWS LITHUANIAN CHURCH,R,N
15,17,560 N 20TH ST,RUSSIAN ORTHODOX CHURCH,N,N
15,18,854-70 N 24TH ST,THE CITY SCHOOL AT FAIRMOUNT,R,N
15,19,24TH & WALLACE STS,ST FRANCIS XAVIER SCHOOL,B,N
16,1,1421 W SUSQUEHANNA AVE,SUSQUEHANNA VILLAGE,F,N
16,2,1421 W SUSQUEHANNA AVE,SUSQUEHANNA VILLAGE,F,N
16,3,2332 N 15TH ST,WINCHESTER RECREATION CENTER,B,N
16,4,2332 N 15TH ST,WINCHESTER RECREATION CENTER,B,N
16,5,2332 N 15TH ST,WINCHESTER RECREATION CENTER,B,N
16,6,2121 GRATZ ST,CHURCH OF THE ADVOCATE GYM,M,L
16,7,18TH & YORK STS,FOSTER MEMORIAL BAPT CHURCH,N,N
16,8,18TH & YORK STS,FOSTER MEMORIAL BAPT CHURCH,N,N
16,9,2121 GRATZ ST,CHURCH OF THE ADVOCATE GYM,M,L
16,10,2121 GRATZ ST,CHURCH OF THE ADVOCATE GYM,M,L
16,11,2121 GRATZ ST,CHURCH OF THE ADVOCATE GYM,M,L
16,12,18TH & YORK STS,FOSTER MEMORIAL BAPT CHURCH,N,N
16,13,22ND & HUNTINGDON STS,CECIL B MOORE RECREATION CTR,M,L
16,14,2301 W EDGLEY ST,RAYMOND ROSEN COMM CENTER,F,L
16,15,2301 W EDGLEY ST,RAYMOND ROSEN COMM CENTER,F,L
16,16,2301 W EDGLEY ST,RAYMOND ROSEN COMM CENTER,F,L
16,17,22ND & HUNTINGDON STS,CECIL B MOORE RECREATION CTR,M,L
16,18,2521 N 23RD ST,LOVE ZION BAPT CHURCH,M,N
17,1,16TH & CHELTEN AVE,MORRIS ESTATE REC CENTER,N,N
17,2,16TH & CHELTEN AVE,MORRIS ESTATE REC CENTER,N,N
17,3,6300 OLD YORK ROAD,PHILIP MURRAY HOUSE,F,L
17,4,6300 OLD YORK ROAD,PHILIP MURRAY HOUSE,F,L
17,5,6101 LIMEKILN PIKE,G O S P COMMUNITY BUILDING,M,L
17,6,OPAL & MEDARY STS,ST BENEDICT SCHOOL,R,L
17,7,OPAL & MEDARY STS,ST BENEDICT SCHOOL,R,L
17,8,2122 CHELTEN AVE,HOUSE OF PRAYER,R,N
17,9,6100 N 21ST ST,CORINTHIAN COMM & EDUC CTR,B,L
17,10,6100 N 21ST ST,CORINTHIAN COMM & EDUC CTR,B,L
17,11,6101 LIMEKILN PIKE,G O S P COMMUNITY BUILDING,M,L
17,12,6300 OLD YORK ROAD,PHILIP MURRAY HOUSE,F,L
17,13,6101 LIMEKILN PIKE,G O S P COMMUNITY BUILDING,M,L
17,14,6101 LIMEKILN PIKE,G O S P COMMUNITY BUILDING,M,L
