"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
11116,"VILLAGE OF DOYLESTOWN","COLUMBIA COUNTY",84,161,0,0,0,5,5,0,118,162,0,0,0,1,1,0,0,0
11126,"VILLAGE OF FALL RIVER","COLUMBIA COUNTY",480,974,0,0,0,55,55,0,531,895,0,0,0,29,1,2,0,0
11127,"VILLAGE OF FRIESLAND","COLUMBIA COUNTY",98,160,0,0,0,17,17,0,134,194,0,0,0,6,6,0,0,0
11171,"VILLAGE OF PARDEEVILLE","COLUMBIA COUNTY",524,1155,0,0,0,9,9,0,769,1209,0,0,0,30,7,0,0,0
11172,"VILLAGE OF POYNETTE","COLUMBIA COUNTY",679,1434,0,0,0,99,99,0,878,1423,0,0,0,73,72,0,0,1
11177,"VILLAGE OF RIO","COLUMBIA COUNTY",306,627,0,0,0,51,50,0,478,616,0,0,0,36,0,1,0,1
11191,"VILLAGE OF WYOCENA","COLUMBIA COUNTY",178,368,0,0,0,28,28,0,240,391,0,0,0,12,12,0,0,0
11211,"CITY OF COLUMBUS","COLUMBIA COUNTY",1895,3053,0,0,0,440,436,0,1924,3109,0,0,0,199,194,1,0,4
11246,"CITY OF LODI","COLUMBIA COUNTY",1174,1940,0,0,0,222,222,0,1352,1881,0,0,0,155,154,2,0,1
1126,"VILLAGE OF FRIENDSHIP","ADAMS COUNTY",169,323,0,0,0,15,15,0,197,322,0,0,0,22,0,0,0,0
11271,"CITY OF PORTAGE","COLUMBIA COUNTY",2083,4506,0,0,0,347,345,0,2958,4680,0,0,0,530,517,12,1,2
11291,"CITY OF WISCONSIN DELLS","COLUMBIA COUNTY",545,1270,0,0,0,70,70,0,625,1330,0,0,0,76,76,0,0,0
12002,"TOWN OF BRIDGEPORT","CRAWFORD COUNTY",260,608,0,0,0,9,9,0,378,665,0,0,0,9,9,0,0,0
12004,"TOWN OF CLAYTON","CRAWFORD COUNTY",236,488,0,0,0,5,5,0,347,539,0,0,0,13,11,2,0,0
12006,"TOWN OF EASTMAN","CRAWFORD COUNTY",232,447,0,0,0,2,2,0,238,441,0,0,0,2,2,0,0,0
12008,"TOWN OF FREEMAN","CRAWFORD COUNTY",232,469,0,0,0,11,11,0,299,426,0,0,0,13,12,1,0,0
1201,"CITY OF ADAMS","ADAMS COUNTY",330,850,0,0,0,59,59,0,518,926,0,0,0,47,42,3,0,0
12010,"TOWN OF HANEY","CRAWFORD COUNTY",91,179,0,0,0,25,25,0,134,186,0,0,0,7,7,0,0,0
12012,"TOWN OF MARIETTA","CRAWFORD COUNTY",139,280,0,0,0,0,0,0,218,302,0,0,0,3,3,0,0,0
12014,"TOWN OF PRAIRIE DU CHIEN","CRAWFORD COUNTY",256,523,0,0,0,7,7,0,327,513,0,0,0,17,16,0,0,0
12016,"TOWN OF SCOTT","CRAWFORD COUNTY",146,262,0,0,0,16,16,0,200,271,0,0,0,5,5,0,0,0
12018,"TOWN OF SENECA","CRAWFORD COUNTY",270,523,0,0,0,20,20,0,312,527,0,0,0,6,6,0,0,0
12020,"TOWN OF UTICA","CRAWFORD COUNTY",205,357,0,0,0,10,10,0,270,389,0,0,0,14,12,2,0,0
12022,"TOWN OF WAUZEKA","CRAWFORD COUNTY",150,232,0,0,0,9,9,0,140,255,0,0,0,4,4,0,0,0
12106,"VILLAGE OF BELL CENTER","CRAWFORD COUNTY",36,49,0,0,0,2,2,0,45,56,0,0,0,2,0,0,0,0
12121,"VILLAGE OF EASTMAN","CRAWFORD COUNTY",87,188,0,0,0,11,11,0,140,203,0,0,0,5,4,0,0,1
