county,party,race,first_time_status,age_group,vote_mode,vote_count
FLA,DEM,2,returning,18-29,A,5
GLA,DEM,2,returning,18-29,A,1
HAR,DEM,2,returning,18-29,A,1
HER,DEM,2,returning,18-29,A,16
HIG,DEM,2,returning,18-29,A,2
HIL,DEM,2,returning,18-29,A,195
IND,DEM,2,returning,18-29,A,4
LAK,DEM,2,returning,18-29,A,13
LEE,DEM,2,returning,18-29,A,20
LEO,DEM,2,returning,18-29,A,39
MAN,DEM,2,returning,18-29,A,26
MON,DEM,2,returning,18-29,A,2
MRN,DEM,2,returning,18-29,A,15
MRT,DEM,2,returning,18-29,A,5
NAS,DEM,2,returning,18-29,A,1
OKA,DEM,2,returning,18-29,A,7
ORA,DEM,2,returning,18-29,A,158
OSC,DEM,2,returning,18-29,A,29
PAL,DEM,2,returning,18-29,A,82
PAS,DEM,2,returning,18-29,A,28
PIN,DEM,2,returning,18-29,A,105
POL,DEM,2,returning,18-29,A,19
PUT,DEM,2,returning,18-29,A,1
SAN,DEM,2,returning,18-29,A,3
SAR,DEM,2,returning,18-29,A,30
SEM,DEM,2,returning,18-29,A,69
STJ,DEM,2,returning,18-29,A,15
STL,DEM,2,returning,18-29,A,10
SUM,DEM,2,returning,18-29,A,1
