,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BROWN - VILLAGE OF HOWARD - WARD 14,12,,
,BROWN - VILLAGE OF HOWARD - WARD 15,46,,
,BROWN - VILLAGE OF HOWARD - WARD 16,20,,
,BROWN - VILLAGE OF HOWARD - WARD 18,23,,
,BROWN - VILLAGE OF HOWARD - WARD 2,11,,
,BROWN - VILLAGE OF HOWARD - WARD 3,11,,
,BROWN - VILLAGE OF HOWARD - WARD 4,5,,
,BROWN - VILLAGE OF HOWARD - WARD 5,17,,
,BROWN - VILLAGE OF HOWARD - WARD 6,24,,
,BROWN - VILLAGE OF HOWARD - WARD 7,24,,
,BROWN - VILLAGE OF HOWARD - WARD 8,35,,
,BROWN - VILLAGE OF HOWARD - WARD 9,15,,
,BROWN - VILLAGE OF PULASKI - WARD 1,14,,
,BROWN - VILLAGE OF PULASKI - WARD 2,17,,
,BROWN - VILLAGE OF PULASKI - WARD 3,24,,
,BROWN - VILLAGE OF PULASKI - WARD 6,21,,
,BROWN - VILLAGE OF SUAMICO - WARD 1,30,,
,BROWN - VILLAGE OF SUAMICO - WARD 2,23,,
,BROWN - VILLAGE OF SUAMICO - WARD 3,30,,
,BROWN - VILLAGE OF SUAMICO - WARD 4,34,,
,BROWN - VILLAGE OF SUAMICO - WARD 5,39,,
,BROWN - VILLAGE OF SUAMICO - WARD 6,24,,
,BROWN - VILLAGE OF SUAMICO - WARD 7,28,,
,BROWN - VILLAGE OF SUAMICO - WARD 8,41,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 1,23,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 2,31,,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 3,30,,
,BUFFALO - CITY OF ALMA - WARD 1,11,,
,BUFFALO - CITY OF ALMA - WARD 2,13,,
,BUFFALO - CITY OF BUFFALO - WARD 1,24,,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 1,15,,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 2,3,,
,BUFFALO - CITY OF MONDOVI - WARD 1,28,,
,BUFFALO - CITY OF MONDOVI - WARD 2,16,,
