,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BROWN - VILLAGE OF PULASKI - WARD 2,107,6,
,BROWN - VILLAGE OF PULASKI - WARD 3,113,6,
,BROWN - VILLAGE OF PULASKI - WARD 6,61,5,
,BROWN - VILLAGE OF SUAMICO - WARD 1,193,9,
,BROWN - VILLAGE OF SUAMICO - WARD 2,141,7,
,BROWN - VILLAGE OF SUAMICO - WARD 3,148,8,
,BROWN - VILLAGE OF SUAMICO - WARD 4,286,22,
,BROWN - VILLAGE OF SUAMICO - WARD 5,243,15,
,BROWN - VILLAGE OF SUAMICO - WARD 6,117,7,
,BROWN - VILLAGE OF SUAMICO - WARD 7,176,14,
,BROWN - VILLAGE OF SUAMICO - WARD 8,265,22,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 1,70,8,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 2,75,6,
,BROWN - VILLAGE OF WRIGHTSTOWN - WARD 3,117,5,
,BUFFALO - CITY OF ALMA - WARD 1,67,12,
,BUFFALO - CITY OF ALMA - WARD 2,78,10,
,BUFFALO - CITY OF BUFFALO - WARD 1,228,16,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 1,91,4,
,BUFFALO - CITY OF FOUNTAIN CITY - WARD 2,43,6,
,BUFFALO - CITY OF MONDOVI - WARD 1,140,12,
,BUFFALO - CITY OF MONDOVI - WARD 2,88,6,
,BUFFALO - CITY OF MONDOVI - WARD 3,144,15,
,BUFFALO - TOWN OF ALMA - WARD 1,58,6,
,BUFFALO - TOWN OF BELVIDERE - WARD 1,93,11,
,BUFFALO - TOWN OF BUFFALO - WARD 1,132,10,
,BUFFALO - TOWN OF CANTON - WARD 1,57,2,
,BUFFALO - TOWN OF CROSS - WARD 1,62,6,
,BUFFALO - TOWN OF DOVER - WARD 1,57,,
,BUFFALO - TOWN OF GILMANTON - WARD 1,57,4,
,BUFFALO - TOWN OF GLENCOE - WARD 1,99,7,
,BUFFALO - TOWN OF LINCOLN - WARD 1,48,5,
,BUFFALO - TOWN OF MAXVILLE - WARD 1,54,5,
,BUFFALO - TOWN OF MILTON - WARD 1,97,7,
,BUFFALO - TOWN OF MODENA - WARD 1,64,5,
,BUFFALO - TOWN OF MONDOVI - WARD 1,78,6,
,BUFFALO - TOWN OF MONTANA - WARD 1,46,4,
,BUFFALO - TOWN OF NAPLES - WARD 1,110,5,
,BUFFALO - TOWN OF NELSON - WARD 1,109,6,
,BUFFALO - TOWN OF WAUMANDEE - WARD 1,86,9,
,BUFFALO - VILLAGE OF COCHRANE - WARD 1,57,7,
,BUFFALO - VILLAGE OF NELSON - WARD 1,50,6,
,BURNETT - TOWN OF ANDERSON - WARD 1,64,11,
,BURNETT - TOWN OF BLAINE - WARD 1,35,1,
,BURNETT - TOWN OF DANIELS - WARD 1,133,6,
,BURNETT - TOWN OF DEWEY - WARD 1,94,14,
,BURNETT - TOWN OF GRANTSBURG - WARD 1,78,10,
,BURNETT - TOWN OF GRANTSBURG - WARD 2,43,2,
,BURNETT - TOWN OF GRANTSBURG - WARD 3,48,2,
,BURNETT - TOWN OF JACKSON - WARD 1,238,25,
,BURNETT - TOWN OF LA FOLLETTE - WARD 1,90,6,
,BURNETT - TOWN OF LA FOLLETTE - WARD 2,16,,
,BURNETT - TOWN OF LINCOLN - WARD 1,69,,
,BURNETT - TOWN OF MEENON - WARD 1,51,5,
,BURNETT - TOWN OF MEENON - WARD 2,60,9,
,BURNETT - TOWN OF MEENON - WARD 3,36,1,
,BURNETT - TOWN OF OAKLAND - WARD 1,102,14,
,BURNETT - TOWN OF OAKLAND - WARD 2,90,8,
,BURNETT - TOWN OF ROOSEVELT - WARD 1,35,2,
,BURNETT - TOWN OF RUSK - WARD 1,90,12,
,BURNETT - TOWN OF SAND LAKE - WARD 1,87,12,
,BURNETT - TOWN OF SCOTT - WARD 1,83,12,
,BURNETT - TOWN OF SCOTT - WARD 2,68,3,
,BURNETT - TOWN OF SIREN - WARD 1,138,7,
,BURNETT - TOWN OF SIREN - WARD 2,39,5,
,BURNETT - TOWN OF SWISS - WARD 1,104,10,
,BURNETT - TOWN OF SWISS - WARD 2,37,3,
,BURNETT - TOWN OF TRADE LAKE - WARD 1,174,12,
,BURNETT - TOWN OF TRADE LAKE - WARD 2,5,,
,BURNETT - TOWN OF UNION - WARD 1,76,11,
,BURNETT - TOWN OF WEBB LAKE - WARD 1,119,21,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 1,41,5,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 2,10,,
,BURNETT - TOWN OF WOOD RIVER - WARD 1,132,14,
,BURNETT - TOWN OF WOOD RIVER - WARD 2,15,,
,BURNETT - TOWN OF WOOD RIVER - WARD 3,18,2,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 1,113,13,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 2,42,2,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 3,44,6,
,BURNETT - VILLAGE OF SIREN - WARD 1,82,21,
,BURNETT - VILLAGE OF SIREN - WARD 2,13,2,
,BURNETT - VILLAGE OF WEBSTER - WARD 1,45,7,
,BURNETT - VILLAGE OF WEBSTER - WARD 2,37,3,
,CALUMET - CITY OF APPLETON - WARD 12,114,20,
,CALUMET - CITY OF APPLETON - WARD 13,212,11,
,CALUMET - CITY OF APPLETON - WARD 14,190,19,
